CODGEO,LIBGEO,LIBEPCI,DEP,REG
1001,L'Abergement-Clémenciat,CC de la Dombes,1,84
1002,L'Abergement-de-Varey,CC de la Plaine de l'Ain,1,84
1004,Ambérieu-en-Bugey,CC de la Plaine de l'Ain,1,84
1005,Ambérieux-en-Dombes,CC Dombes Saône Vallée,1,84
1006,Ambléon,CC Bugey Sud,1,84
1007,Ambronay,CC de la Plaine de l'Ain,1,84
1008,Ambutrix,CC de la Plaine de l'Ain,1,84
1009,Andert-et-Condon,CC Bugey Sud,1,84
1010,Anglefort,CC Usses et Rhône,1,84
1011,Apremont,CA Haut - Bugey Agglomération,1,84
1012,Aranc,CA Haut - Bugey Agglomération,1,84
1013,Arandas,CC de la Plaine de l'Ain,1,84
1014,Arbent,CA Haut - Bugey Agglomération,1,84
1015,Arboys en Bugey,CC Bugey Sud,1,84
1016,Arbigny,CC Bresse et Saône,1,84
1017,Argis,CC de la Plaine de l'Ain,1,84
1019,Armix,CC Bugey Sud,1,84
1021,Ars-sur-Formans,CC Dombes Saône Vallée,1,84
1022,Artemare,CC Bugey Sud,1,84
1023,Asnières-sur-Saône,CC Bresse et Saône,1,84
1024,Attignat,CA du Bassin de Bourg-en-Bresse,1,84
1025,Bâgé-Dommartin,CC Bresse et Saône,1,84
1026,Bâgé-le-Châtel,CC Bresse et Saône,1,84
1027,Balan,CC de la Côtière à Montluel,1,84
1028,Baneins,CC de la Dombes,1,84
1029,Beaupont,CA du Bassin de Bourg-en-Bresse,1,84
1030,Beauregard,CC Dombes Saône Vallée,1,84
1031,Bellignat,CA Haut - Bugey Agglomération,1,84
1032,Béligneux,CC de la Côtière à Montluel,1,84
1033,Valserhône,CC du Pays Bellegardien (CCPB),1,84
1034,Belley,CC Bugey Sud,1,84
1035,Belleydoux,CA Haut - Bugey Agglomération,1,84
1036,Valromey-sur-Séran,CC Bugey Sud,1,84
1037,Bénonces,CC de la Plaine de l'Ain,1,84
1038,Bény,CA du Bassin de Bourg-en-Bresse,1,84
1039,Béon,CC Bugey Sud,1,84
1040,Béréziat,CA du Bassin de Bourg-en-Bresse,1,84
1041,Bettant,CC de la Plaine de l'Ain,1,84
1042,Bey,CC de la Veyle,1,84
1043,Beynost,CC de Miribel et du Plateau,1,84
1044,Billiat,CC du Pays Bellegardien (CCPB),1,84
1045,Birieux,CC de la Dombes,1,84
1046,Biziat,CC de la Veyle,1,84
1047,Blyes,CC de la Plaine de l'Ain,1,84
1049,La Boisse,CC de la Côtière à Montluel,1,84
1050,Boissey,CC Bresse et Saône,1,84
1051,Bolozon,CA Haut - Bugey Agglomération,1,84
1052,Bouligneux,CC de la Dombes,1,84
1053,Bourg-en-Bresse,CA du Bassin de Bourg-en-Bresse,1,84
1054,Bourg-Saint-Christophe,CC de la Plaine de l'Ain,1,84
1056,Boyeux-Saint-Jérôme,CC Rives de l'Ain - Pays du Cerdon,1,84
1057,Boz,CC Bresse et Saône,1,84
1058,Brégnier-Cordon,CC Bugey Sud,1,84
1060,Brénod,CA Haut - Bugey Agglomération,1,84
1061,Brens,CC Bugey Sud,1,84
1062,Bressolles,CC de la Côtière à Montluel,1,84
1063,Brion,CA Haut - Bugey Agglomération,1,84
1064,Briord,CC de la Plaine de l'Ain,1,84
1065,Buellas,CA du Bassin de Bourg-en-Bresse,1,84
1066,La Burbanche,CC Bugey Sud,1,84
1067,Ceignes,CA Haut - Bugey Agglomération,1,84
1068,Cerdon,CC Rives de l'Ain - Pays du Cerdon,1,84
1069,Certines,CA du Bassin de Bourg-en-Bresse,1,84
1071,Cessy,CA du Pays de Gex,1,84
1072,Ceyzériat,CA du Bassin de Bourg-en-Bresse,1,84
1073,Ceyzérieu,CC Bugey Sud,1,84
1074,Chalamont,CC de la Dombes,1,84
1075,Chaleins,CC Val de Saône Centre,1,84
1076,Chaley,CC de la Plaine de l'Ain,1,84
1077,Challes-la-Montagne,CC Rives de l'Ain - Pays du Cerdon,1,84
1078,Challex,CA du Pays de Gex,1,84
1079,Champagne-en-Valromey,CC Bugey Sud,1,84
1080,Champdor-Corcelles,CA Haut - Bugey Agglomération,1,84
1081,Champfromier,CC du Pays Bellegardien (CCPB),1,84
1082,Chanay,CC du Pays Bellegardien (CCPB),1,84
1083,Chaneins,CC de la Dombes,1,84
1084,Chanoz-Châtenay,CC de la Veyle,1,84
1085,La Chapelle-du-Châtelard,CC de la Dombes,1,84
1087,Charix,CA Haut - Bugey Agglomération,1,84
1088,Charnoz-sur-Ain,CC de la Plaine de l'Ain,1,84
1089,Château-Gaillard,CC de la Plaine de l'Ain,1,84
1090,Châtenay,CC de la Dombes,1,84
1092,Châtillon-la-Palud,CC de la Dombes,1,84
1093,Châtillon-sur-Chalaronne,CC de la Dombes,1,84
1094,Chavannes-sur-Reyssouze,CC Bresse et Saône,1,84
1095,Nivigne et Suran,CA du Bassin de Bourg-en-Bresse,1,84
1096,Chaveyriat,CC de la Veyle,1,84
1098,Chazey-Bons,CC Bugey Sud,1,84
1099,Chazey-sur-Ain,CC de la Plaine de l'Ain,1,84
1100,Cheignieu-la-Balme,CC Bugey Sud,1,84
1101,Chevillard,CA Haut - Bugey Agglomération,1,84
1102,Chevroux,CC Bresse et Saône,1,84
1103,Chevry,CA du Pays de Gex,1,84
1104,Chézery-Forens,CA du Pays de Gex,1,84
1105,Civrieux,CC Dombes Saône Vallée,1,84
