Code,typo
1001,Couronne périurbaine
1002,Couronne périurbaine
1004,Couronne périurbaine
1005,Couronne périurbaine
1006,Espace rural
1007,Couronne périurbaine
1008,Couronne périurbaine
1009,Couronne périurbaine
1010,Espace rural
1011,Couronne périurbaine
1012,Espace rural
1013,Couronne périurbaine
1014,Pôle urbain
1015,Couronne périurbaine
1016,Couronne périurbaine
1017,Couronne périurbaine
1019,Couronne périurbaine
1021,Couronne périurbaine
1022,Espace rural
1023,Couronne périurbaine
1024,Couronne périurbaine
1025,Couronne périurbaine
1026,Couronne périurbaine
1027,Couronne périurbaine
1028,Couronne périurbaine
1029,Couronne périurbaine
1030,Pôle urbain
1031,Pôle urbain
1032,Couronne périurbaine
1033,Espace rural
1034,Pôle urbain
1035,Couronne périurbaine
1036,Espace rural
1037,Couronne périurbaine
1038,Couronne périurbaine
1039,Espace rural
1040,Couronne périurbaine
1041,Couronne périurbaine
1042,Couronne périurbaine
1043,Pôle urbain
1044,Espace rural
1045,Couronne périurbaine
1046,Couronne périurbaine
1047,Couronne périurbaine
1049,Pôle urbain
1050,Couronne périurbaine
1051,Couronne périurbaine
1052,Couronne périurbaine
1053,Pôle urbain
1054,Couronne périurbaine
1056,Couronne périurbaine
1057,Couronne périurbaine
1058,Couronne périurbaine
1060,Espace rural
1061,Pôle urbain
1062,Couronne périurbaine
1063,Pôle urbain
1064,Couronne périurbaine
1065,Couronne périurbaine
1066,Couronne périurbaine
1067,Espace rural
1068,Couronne périurbaine
1069,Couronne périurbaine
1071,Couronne périurbaine
1072,Couronne périurbaine
1073,Espace rural
1074,Couronne périurbaine
1075,Couronne périurbaine
1076,Couronne périurbaine
1077,Espace rural
1078,Couronne périurbaine
1079,Espace rural
1080,Espace rural
1081,Espace rural
1082,Espace rural
1083,Couronne périurbaine
1084,Couronne périurbaine
1085,Couronne périurbaine
1087,Espace rural
1088,Couronne périurbaine
1089,Couronne périurbaine
1090,Couronne périurbaine
1092,Couronne périurbaine
1093,Couronne périurbaine
1094,Couronne périurbaine
1095,Couronne périurbaine
1096,Couronne périurbaine
1098,Couronne périurbaine
1099,Couronne périurbaine
1100,Espace rural
1101,Espace rural
1102,Couronne périurbaine
1103,Couronne périurbaine
1104,Espace rural
1105,Couronne périurbaine
1106,Couronne périurbaine
1107,Couronne périurbaine
1108,Couronne périurbaine
1109,Couronne périurbaine
1110,Couronne périurbaine
1111,Couronne périurbaine
1112,Espace rural
1113,Couronne périurbaine
1114,Espace rural
1115,Couronne périurbaine
1116,Couronne périurbaine
1117,Couronne périurbaine
1118,Espace rural
1121,Espace rural
